ชื่อยา,ชื่อสามัญ,ความแรง,หน่วยนับ,ราคาทุน,ราคาจำหน่าย,Dosage Form,บัญชี,รหัส TMT สกส.,Pregnancy Cagetory
HUMAN TETANUS IMMUNOGLOBULIN,HUMAN+TETANUS+IMMUNOGLOBULIN,250 iu.,Amp,400.00,505.00,INJECTIONS,ข,797929,
HyDRALAZINE,HYDRALAZINE,25 mg.,เม็ด,1.36,2.00,TABLETS,ก,1238718,
HyDRALAZINE INJECTION.,HyDRALAZINE,20 mg.,Amphule,241.82,289.00,POWDERS,ก,782105,
HYDROCORTISONE,HYDROCORTISONE,100 mg.,Vial,48.00,59.00,INJECTIONS,ก,520544,
HYDROGEN PEROXIDE,HYDROGENPEROXIDE,6 %,ขวด (450 ml.),25.78,32.00,SOLUTIONS,ก,770924,
HYDROXYZINE SYRUP,HYDROXYZINE,10 mg/5ml,ขวด,9.60,13.00,SYRUPS,ก,616454,
HYDROXYZINE(ATARAX),HYDROXYZINE,10 mg.,เม็ด,0.08,1.00,TABLETS,ก,726961,C
HYOSCINE,HYOSCINE,10 mg.,เม็ด,0.83,2.00,TABLETS,ก,797993,C
HYOSCINE,HYOSCINE,20 mg./ml.,Amphule (1 ml.),4.50,6.00,INJECTIONS,ก,767686,C
IBUPROFEN,IBUPROFEN,100 mg/5ml,ขวด (60 ml.),10.00,13.00,SYRUPS,ก,126269,
IBUPROFEN,IBUPROFEN,400 mg.,เม็ด,0.24,1.00,TABLETS,ก,123645,B
IMIPENEM+CILASTATIN,IMIPENEM+CILASTATIN,500+500 mg.,Vial,165.85,202.00,INJECTIONS,ง,992508,
IMPLANON NXT,ESTONOGESTREL,68 MG.,ชุด,"1,797.60","2,038.00",INJECTIONS,ก,750078,
INACTIVETED POLIO VACCINE (IPV),INACTIVETEDPOLIOVACCINE,0.5 ml.,dose,96.77,117.00,INJECTIONS,ก,668920,
INFLUENZA (บุคลากร),INFLUENZA,-,dose,172.68,210.00,INJECTIONS,ก,1262689,
INFLUENZA (ประชาชน),INFLUENZA,.,DOSE,102.34,129.00,INJECTIONS,ก,1261122,
INSULIN MIXTARD (70/30)(COSMA),HUMANINSULINISOPHANESUSHUMANINSULIN,300 iu./3ml.,Vial,78.00,95.00,INJECTIONS,ก,663175,
INSULIN MIXTARD (UNIT DOSE),HUMANINSULINISOPHANESUSHUMANINSULIN,100 iu./ml.,unit,0.31,1.00,INJECTIONS,ก,658287,
INSULIN NPH,HUMANINSULINISOPHANE,300 iu./3ml.,Vial,128.40,159.00,INJECTIONS,ก,658327,
INSULIN NPH (UNIT DOSE),HUMANINSULINISOPHANE,100 iu./ml.,unit,0.43,1.00,INJECTIONS,ก,658327,
INSULIN RI,REGULARINSULIN,"1,000 units/10ml.",ขวด (10 ml.),310.30,368.00,INJECTIONS,ก,658362,
INSULIN RI (UNIT DOSE),REGULARINSULIN,100 iu./ml.,unit,0.31,1.00,INJECTIONS,ก,658362,
ISONIAZID,ISONIAZID,100 mg.,เม็ด,0.13,1.00,TABLETS,ก,737152,C
Isoniazid (ยาสนับสนุน),ISONIAZID,300 mg.,เม็ด,0.00,2.00,TABLETS,ก,350393,
ISONIAZID/RIFAPENTINE(ยาสนับสนุน),ISONIAZID+RIFAPENTINE,300+300 mg.,เม็ด,0.00,0.00,TABLETS,ข,,
ITRACONAZOLE,ITRACONAZOLE,100 mg.,แค็บซูล,7.33,10.00,CAPSULES,ค,445592,
JADELLE (ยาฝังคุมกำเนิด),LEVONORGESTREL,75 mg.,หลอด,"2,011.16","2,500.00",INJECTIONS,ก,681624,
JE VACCINE,JAPANESEENCEPHALITIS,1 ml.,DOSE,257.00,307.00,INJECTIONS,ก,762927,
KALIMATE,CALCIUMPOLYSTYLENESULFONATE,5 g.,ซอง (5 g.),17.00,22.00,POWDERS,ก,673196,
KCL.POTASSIUM ELIXER 30 ml.(UNIT DOSE),POTASSIUM,10 %,ขวด (30 ml.),1.38,2.00,SOLUTIONS,ก,770969,
KCL.POTASSIUM ELIXER 5 ml(UNIT DOSE),POTASSIUM,5 ml.,ขวด,0.23,1.00,SOLUTIONS,ก,770969,
KETOCONAZOLE,KETOCONAZOLE,200 mg.,เม็ด,2.03,3.00,TABLETS,ก,354395,C
KOCITAF (DTG50+FTC200+TAF25),DOLUTEGRAVIR+EMTRICITABINE+TENOFOVIR,50+200+25 mg.,เม็ด,19.97,25.00,,ค,1194003,
LAC-OPH EYE DROPS,Hydroxypropylmethylcellulose+Benzalkoniumchloride,0.5+0.015 %,ขวด (10 ml.),27.00,34.00,SOLUTIONS,ก,700209,
LACTULOSE,LACTULOSE,66.7 g.,ขวด (100 ml.),56.00,68.00,SYRUPS,ข,618198,
LACTULOSE(UNIT DOSE),LACTULOSE,30 ml.,dose,16.60,22.00,SYRUPS,ข,618198,
LAMIVUDINE  (3TC),LAMIVUDINE,150 mg.,เม็ด,5.67,7.50,TABLETS,ก,658861,C
LAMIVUDINE (3TC) (ยาโครงการ),LAMIVUDINE,10 mg./ml.,ขวด (60 ml.),60.00,73.00,SYRUPS,ก,658842,
LAMIVUDINE (3TC) (ยาโครงการ),LAMIVUDINE,150 mg.,เม็ด,3.67,5.00,TABLETS,ก,658861,C
LASTAVIR  (ยาโครงการ),LAMIVUDINE+STAVUDINE,150+30 mg.,แค็บซูล,5.78,8.00,CAPSULES,จ1,659017,
LIDOCAINE WITH ADRENALINE 1 ml,LIDOCAINE+ADRENALINE,2 %,dose,1.50,2.00,INJECTIONS,ก,566452,
LIDOCAINE WITHOUT ADRENALINE 1ml,LIDOCAINE,2 %,dose,0.60,2.00,INJECTIONS,ก,565792,
LINCOMYCIN,LINCOMYCIN,300 mg./ml.,Amphule (2 ml.),8.24,11.00,INJECTIONS,ข,566888,
LOPINAVIR+RITONAVIR (ยาโครงการ),LOPINAVIR+RITONAVIR,200+50 mg.,เม็ด,12.34,16.00,TABLETS,ค,1142689,
MEASLES AND RUBELLA VACCINE(MR),MEASLES AND RUBELLA VACCINE,0.5 ml.,Vial (5 ml.),59.50,73.00,INJECTIONS,ก,567984,
MEBENDAZOLE,MEBENDAZOLE,100 mg/5ml,ขวด (30 ml.),9.00,12.00,SUSPENSIONS,ก,619912,C
MEFENAMIC (ยานอกบัญชีฯ),MEFENAMIC,250 mg.,แค็บซูล,0.61,2.00,CAPSULES,,130526,C
MEFLOQUINE,MEFLOQUINE,250 mg.,เม็ด,20.28,26.00,TABLETS,ค,659443,
MEROPENEM,MEROPENEM,1 g.,Vial,160.00,195.00,INJECTIONS,ง,568448,
METFORMIN,METFORMIN,500 mg.,เม็ด,0.40,1.00,TABLETS,ก,374764,B
METHIMAZOLE,THIAMAZOLE,5 mg.,เม็ด,0.70,2.00,TABLETS,ก,459215,D
METHYL ERGOMETRINE (METHERGIN),METHYLERGOMETRINE,.,AMP.,7.00,9.00,INJECTIONS,ก,761347,X
METHYLDOPA,METHYLDOPA,125 mg.,เม็ด,0.85,2.00,TABLETS,ก,231272,B
METHYLPHENIDATE,METHYLPHENIDATE,10 mg.,แค็บซูล,4.00,6.00,CAPSULES,ค,431051,
METOCLOPRAMIDE,METOCLOPRAMIDE,10 mg./2 ml.,Amphule (2 ml.),2.68,4.00,INJECTIONS,ก,569975,
METOCLOPRAMIDE (PLASIL),METOCLOPRAMIDE,10 mg.,เม็ด,0.18,1.00,TABLETS,ก,387088,B
METRONIDAZOLE,METRONIDAZOLE,0.5 %,ขวด (100 ml.),18.00,23.00,INJECTIONS,ก,570296,
METRONIDAZOLE,METRONIDAZOLE,200 mg.,เม็ด,0.35,1.00,TABLETS,ก,737175,B
MICONAZOLE NITRATE ORAL GEL,MICONAZOLENITRATE,10 g.,หลอด,28.00,35.00,GEL,ก,826640,
MILK OF MAGNESIA (MOM),MAGNESIUM,60 ml.,ขวด (60 ml.),5.00,7.00,SUSPENSIONS,ก,777322,
MMR Vacine,MEASLES+MUMPS+RUBELLA,1 ml.,DOSE,195.00,235.00,INJECTIONS,ก,570895,X
MOLNUPIRAVIR,MOLNUPIRAVIR,200 mg.,เม็ด,9.15,12.00,,ก,1241980,
MOMETASONE CREAM,MOMETASONE,0.1 %,หลอด (5 g.),25.00,31.00,CREAMS,ง,1026646,
MORPHINE,MORPHINE,10 mg./ml.,AMP.,5.00,7.00,INJECTIONS,ค,535924,
MORPHINE SULFATE BP(KAPANOL),MORPHINE,20 mg.,แค็บซูล,26.43,33.00,CAPSULES,ค,665556,
MORPHINE SULFATE ORAL SOL.,MORPHINE,10 mg/5ml,ขวด (60 ml.),40.00,49.00,SOLUTIONS,ค,535752,
MOUTH WASH(C-20),CHLORHEXIDINE,0.12 g.,ขวด,12.75,17.00,SOLUTIONS,ก,845412,
MULTIVITAMIN (MTV),MULTIVITAMIN,.,เม็ด,0.16,1.00,TABLETS,ก,798658,
MULTIVITAMIN(MTVsyr.),MULTIVITAMIN,.,ขวด (60 ml.),12.77,17.00,SYRUPS,ก,676311,
MULTIVITAMIN+FERRIC,MULTIVITAMIN+FERRIC,.,ขวด (120 ml.),30.00,37.00,SYRUPS,ก,825192,
MUPIROCIN OINTMENT(BACTEX),MUPIROCIN,2 %,หลอด (5 g.),28.00,35.00,OINTMENTS,ข,513669,
NALOXONE (NARCAN),NALOXONE,400 mcg./ml.,AMPULE,162.40,201.00,INJECTIONS,ก,521028,
NAPROXEN SODIUM,NAPROXEN SODIUM,250 MG.,TABLET,1.50,3.00,TABLETS,ก,131911,
NERVIRAPINE (NVP 200) (ยาโครงการ),NERVIRAPINE,200 mg.,เม็ด,5.52,8.00,TABLETS,ก,659807,C
NEVIRAPINE (NVP) (ยาโครงการ),NEVIRAPINE,10 mg./ml.,ขวด,65.00,79.00,SYRUPS,ก,659853,C
NICARDIPINE,NICARDIPINE,1 mg./ml.,Amphule,254.66,304.00,INJECTIONS,ค,906379,
NIFEDIPINE(ยานอกบัญชี),NIFEDIPINE,10 mg.,แค็บซูล,0.77,2.00,CAPSULES,,110721,C
NITROFURANTOIN,NITROFURANTOIN,100 mg.,เม็ด,1.20,2.00,TABLETS,ข,390622,
NOREPINEPHINE (Levophed),NOREPINEPHINE,1mg/ml mg./ml.,Vial,195.00,235.00,INJECTIONS,ง,572182,
NORETHISTERONE (Primalut-N),NORETHISTERONE,5 mg.,เม็ด,3.74,5.00,TABLETS,ก,448542,X
NORFLOXACIN,NORFLOXACIN,400 mg.,เม็ด,1.15,2.00,TABLETS,ก,393340,C
NORGESIC(ยานอกบัญชีฯ),ORPHENADRINE PARACETAMOL,(35+450) mg.,เม็ด,0.32,1.00,TABLETS,,276613,
NORTRIPTYLINE,NORTRIPTYLINE,25 mg.,เม็ด,1.20,2.00,TABLETS,ข,1289080,
NSS,SODIUMCHLORIDE,0.45 %,"ขวด (1,000 ml.)",32.00,40.00,INJECTIONS,ก,798881,
NSS,SODIUMCHLORIDE,0.9 %,"ขวด (1,000 ml.)",32.00,40.00,INJECTIONS,ก,1246863,
NSS,SODIUMCHLORIDE,0.9 %,ขวด (100 ml.),16.00,20.00,INJECTIONS,ก,1114519,
NSS,SODIUMCHLORIDE,3 %,ขวด (500 ml.),29.00,36.00,INJECTIONS,ก,731169,
NSS  FOR IRRIGATE,SODIUMCHLORIDE,0.9 %,"ขวด (1,000 ml.)",29.00,36.00,SOLUTIONS,ก,940125,
NYSTATIN,NYSTATIN,"100,000 u.",ขวด,31.00,38.00,SUSPENSIONS,ก,622087,
OBIMIN-AZ(ยานอกบัญชีฯ),VITAMIN+FOLIC+FERROUS+CALCIUMIODINEZINC,.,เม็ด,1.68,3.00,TABLETS,,787732,
OCTREOTIDE INJECTION,OCTREOTIDE INJECTION,100 mcg.,Amphule,142.00,179.00,,ง,572499,
OFLOXACIN,OFLOXACIN,100 mg.,เม็ด,1.80,3.00,TABLETS,ข,397704,C
OLIVE OIL,OLIVEOIL,.,ขวด,184.00,223.00,SOLUTIONS,ก,787824,
OLIVE OIL(UNIT DOSE),OLIVEOIL,.,ขวด (30 ml.),12.27,16.00,SOLUTIONS,ก,787824,
OMEPRAZOLE,OMEPRAZOLE,20 mg.,แค็บซูล,0.55,2.00,CAPSULES,ก,104869,C
OMEPRAZOLE,OMEPRAZOLE,40 mg.,Vial,85.00,103.00,INJECTIONS,ข,105380,C
ONDANSETRON INJECTION,ONDANSETRON,4 MG./2 ML.,ampules,14.34,18.00,INJECTIONS,ข,573172,
OPV vaccine,POLIOMYELITISVACCINE,.,DOSE,7.12,10.00,SOLUTIONS,ก,669801,
ORS,ORALREHYDRATIONSALTS,6.975 g.,ซอง,1.80,3.00,POWDERS,ก,939865,
ORS เด็ก (รสส้ม),ORALREHYDRATIONSALTS,3.645 g.,ซอง,1.36,2.00,POWDERS,ก,850564,
OXYTETRACYCLINE EYE OINTMENT,OXYTETRACYCLINE,3.5 g.,หลอด (3.5 g.),32.10,40.00,OINTMENTS,ก,689199,
OXYTOCIN,OXYTOCIN,10 iu./ml.,Amphule (1 ml.),12.00,16.00,INJECTIONS,ก,573724,
PANTOPRAZOLE INJECTION,PANTOPRAZOLE INJECTION,40 mg.,Vial,41.60,51.00,,ค,105538,
PARACETAMOL,PARACETAMOL,120 mg/5ml,ขวด (60 ml.),9.00,12.00,SYRUPS,ก,630254,
PENICILLIN G SODIUM,PENICILLIN,5 mu.,VIAL,15.00,19.00,INJECTIONS,ก,790007,
PENICILLIN V,PENICILLIN,125 mg/5ml,ขวด (60 ml.),9.00,12.00,SUSPENSIONS,ก,826981,
PENICILLIN V,PENICILLIN,250 mg.,TABLET,0.76,2.00,TABLETS,ก,761616,
PERPHENAZINE,PERPHENAZINE,8 mg.,เม็ด,0.47,1.00,TABLETS,ก,408469,C
PETHIDINE,PETHIDINE,50 mg./ml.,Amphule (1 ml.),5.00,7.00,INJECTIONS,ค,535995,
PHENYTOIN SODIUM INJECTION,PHENYTOIN SODIUM INJECTION,250 mg.,Vial,220.00,264.00,INJECTIONS,ก,521426,
PIOGLITAZONE,PIOGLITAZONE,30 mg.,เม็ด,0.80,2.00,TABLETS,ง,469102,
PIPERACILLIN+TAZOBACTAM (TAZOCIN),PIPERACILLIN TAZOBACTAM,.,Vial,96.30,117.00,INJECTIONS,ง,575790,
PIPERAQUINE,PIPERAQUINE+DIHYDROARTEMISININ,320/40 mg.,เม็ด,15.56,20.00,TABLETS,ก,994545,
POLY OPH,POLYMYXIN+NEOMYCIN,5 ml.,ขวด (5 ml.),22.47,28.00,SOLUTIONS,ค,718117,
POTASSIUM CHLORIDE,POTASSIUM,2 mEq./ml.,Amphule (10 ml.),5.20,7.00,INJECTIONS,ก,761685,
POTASSIUM CHLORIDE ELIXER,POTASSIUM,240 ml.,ขวด (240 ml.),11.00,14.00,SOLUTIONS,ก,770969,
POVIDONE IODINE (BETADINE),POVIDONEIODINE,10 %,ขวด (30 ml.),6.47,9.00,SOLUTIONS,ก,763159,
PRALIDOXIME CHLORIDE (2-PAM),PRALIDOXIME,1 g.,VIAL,285.00,339.00,INJECTIONS,ก,722633,
PREDNISOLONE,PREDNISOLONE,5 mg.,เม็ด,0.35,1.00,TABLETS,ก,768581,C
PREDNISOLONE CREAM,PREDNISOLONE,5 g.,หลอด,5.35,7.00,SOLUTIONS,ก,516832,
PREMARIN,CONJUGATEDESTROGENS,0.625 mg.,เม็ด,3.10,5.00,TABLETS,ข,645737,
PRIMAQUIN PHOSPHATE,PRIMAQUIN,15 mg.,เม็ด,0.70,2.00,TABLETS,ก,417545,C
PROCTOSEDYL suppo.,HYDROCORTISONE+ZINCBENZOCAINE,.,เม็ด,5.50,8.00,TABLETS,ก,317270,
PROPYLTHIOURACIL (PTU),PROPYLTHIOURACIL,50 mg.,เม็ด,0.48,1.00,TABLETS,ก,419422,D
PYRAZINAMIDE,PYRAZINAMIDE,500 mg.,เม็ด,2.50,3.00,TABLETS,ก,737199,
QUININE DIHYDROCHLORIDE,QUININE,300 mg./ml.,Amphule (2 ml.),8.13,11.00,INJECTIONS,ก,577591,X
QUININE SULFATE (300) tab.,QUININE,.,เม็ด,1.61,3.00,TABLETS,ก,799763,X
R-DEN(แบบเม็ด) [LEVONORGESTREL+EE],LEVONORGESTREL+ETHINYLOESTRADIOL,0.15+0.03 mcg.,เม็ด,0.50,1.00,TABLETS,ก,731481,
RABIES VACCINE,RABIESVACCINE,.,DOSE.,313.00,371.00,INJECTIONS,ก,669450,
REMDESIVIR INJECTION,REMDESIVIR,100 mg./vial.,Vial,230.00,276.00,INJECTIONS,ก,1164928,
RifaFOUR,RIFAMPICINISONIAZIDPYRAZINAMIDEETHAMBUTOL,150+75+400+275 mg.,เม็ด,3.50,5.00,TABLETS,ข,428452,
RIFAPENTINE,RIFAPENTINE,150 mg.,เม็ด,42.50,52.00,TABLETS,ง,1136833,
RifiNAH,RIFAMPICIN+ISONIAZID,150+100 mg.,แค็บซูล,3.70,5.00,CAPSULES,ข,429721,
RifiNAH,RIFAMPICIN+ISONIAZID,300+150 mg.,แค็บซูล,3.70,5.00,CAPSULES,ข,429766,
RILPIVIRINE (RPV),RILPIVIRINE,25 mg.,เม็ด,7.73,10.00,TABLETS,ง,674537,
RISPERIDONE,RISPERIDONE,1 mg.,เม็ด,2.00,3.00,TABLETS,ข,737238,
RISPERIDONE,RISPERIDONE,2 mg.,เม็ด,3.33,5.00,TABLETS,ข,737255,
ROTARIX,ROTAVIRUS,100000 CCID,ขวด,254.00,303.00,SUSPENSIONS,ก,672160,
ROTATEQ VACCINE,ROTAVIRUS VACCINE,ml.,หลอด,254.00,303.00,,ก,699813,
ROXITHROMYCIN,ROXITHROMYCIN,150 mg.,เม็ด,1.10,2.00,TABLETS,ก,396061,
SALBUTAMOL (VENTOLIN),SALBUTAMOL,2 mg.,เม็ด,0.12,1.00,TABLETS,ก,436351,C
SalbuTamol MDI,SALBUTAMOL,200 dose,หลอด,38.52,47.00,SOLUTIONS,ก,780912,
SalBuTamol NB (พ่นในรพ.),SALBUTAMOL,ml.,DOSE,21.93,28.00,SOLUTIONS,ก,530479,
SALBUTAMOL SULFATE(ยากลับบ้าน),SALBUTAMOL,5 mg./ml.,ขวด (20 ml.),38.52,47.00,SOLUTIONS,ก,530479,
SALBUTAMOL Syrup,SALBUTAMOL,2 mg/5ml,ขวด (60 ml.),8.00,11.00,SYRUPS,ก,635533,
SERETIDE (50/100) ACCUHALER,SALMETEROL+FLUTICASONE,50 +,หลอด,428.00,503.00,POWDERS,ค,690129,
SERETIDE (50/250) ACCUHALER,SALMETEROL+FLUTICASONE,50/250 mcg.,หลอด,492.20,577.00,POWDERS,ค,690172,
SERETIDE MDI,SALMETEROL+FLUTICASONE,25/250 mcg.,ขวด,349.89,413.00,POWDERS,ค,764124,
SERTRALINE,SERTRALINE,50 mg.,เม็ด,4.00,6.00,TABLETS,ข,737293,
SILDENAFIL (Viagra),SILDENAFIL,100 mg.,เม็ด,294.25,349.00,TABLETS,ง,651660,
SILVER SULFADIAZINE 1% cream,SILVERSULFADIAZINE,25 g.,หลอด,29.00,36.00,CREAMS,ก,762031,
SIMCOMINE(ยานอกบัญชีฯ),SIMETHICONE+DICYCLOMINE,ml. mg.,ขวด (60 ml.),14.00,18.00,SYRUPS,,611491,
SIMETHICONE drop,SIMETHICONE,40 mg./0.6ml.,ขวด (15 ml.),36.00,44.00,SYRUPS,ก,827859,
SIMETHICONE(AIR-X),SIMETHICONE,80 mg.,เม็ด,0.40,1.00,TABLETS,ก,314592,
SIMVASTATIN,SIMVASTATIN,20 mg.,เม็ด,0.47,1.00,TABLETS,ก,117308,X
SODIUM BICARBONATE (NaHCO3),SODIUMBICARBONATE,300 mg.,เม็ด,0.05,1.00,TABLETS,ก,789982,
SODIUM BICARBONATE 7.5%,SODIUMBICARBONATE,50 ml.,Amphule,22.37,28.00,INJECTIONS,ก,782838,
SODIUM BICARBONATE(หยอดหู),SODIUM BICARBONATE,3.75 g.,ขวด (5 ml.),20.00,25.00,SOLUTIONS,ก,768758,
SODIUM CHLORIDE (NaCL),SODIUMCHLORIDE,300 mg.,เม็ด,2.50,4.00,TABLETS,ก,760207,
SPIRONOLACTONE,SPIRONOLACTONE,25 mg.,เม็ด,0.85,2.00,TABLETS,ก,445912,C
STAVUDINE  (d4T) (ยาโครงการ),STAVUDINE,30 mg.,เม็ด,3.50,5.00,TABLETS,ข,661597,C
STERILE WATER 10 CC.,STERILEWATER,10 ml.,Amphule (10 ml.),2.70,4.00,SOLUTIONS,ก,768886,
STERILE WATER 5 CC.,STERILEWATER,5 ml.,Amphule (5 ml.),2.18,3.00,SOLUTIONS,ก,768935,
STREPTOKINASE,STREPTOKINASE,"1,500,000 u.",Vial,"5,500.00","10,000.00",INJECTIONS,ก,107609,
STREPTOMYCIN (ยาสนับสนุน),STREPTOMYCIN,1 mg.,Vial,11.00,14.00,INJECTIONS,ก,579071,
STREPTOMYCIN SULFATE,STREPTOMYCIN,1 g.,VIAL,11.00,14.00,INJECTIONS,ก,579071,D
SULIDINE(CPM +PHENYLEPHRINE),CHLORPHENIRAMINE PHENYLEPHRINE,4+10 mg.,เม็ด,1.60,3.00,TABLETS,,450120,
SYMBICORT (160/4.5),BUDESONIDE+FORMOTERAL,160+4.5 mcg.,หลอด,486.85,571.00,POWDERS,ค,800547,
SYMBICORT (320/9),BUDESONIDE+FORMOTERAL,320+9 mcg.,หลอด,631.30,737.00,POWDERS,ค,779395,
TA. MILK LOTION (30 cc.),TRIAMCINOLONE,0.1 %,ขวด (30 ml.),20.00,25.00,SUSPENSIONS,ก,518617,
TAFENOQUINE(ยาสนับสนุน),TAFENOQUINE,150 mg.,เม็ด,0.00,0.00,,,,
TAR SHAMPOO,TARSHAMPOO,. ml.,ขวด (240 ml.),21.00,26.00,SOLUTIONS,ก,707730,
TEEVIR (ยาโครงการ),efavirenz+emtricitabine+tenofovirdisoproxilfumarate,300+200+600 mg.,เม็ด,33.00,41.00,TABLETS,ก,765108,
TENECTEPLASE(TNK),TENECTEPLASE,"8,000 u.",Vial,"20,560.00","22,677.00",INJECTIONS,ง,107650,
TENOFOVIR  (TDF) (ยาโครงการ),TENOFOVIR,300 mg.,เม็ด,12.00,16.00,TABLETS,ก,779664,
TENOFOVIR EMTRICITABINE(TENO-EM),TENOFOVIR+EMTRICITABINE,300+200 mg.,เม็ด,20.00,25.00,TABLETS,ก,828347,
TERBUTALINE,TERBUTALINE,0.5 mg./ml.,AMP.,8.56,11.00,INJECTIONS,ก,761922,
TERBUTALINE SULFATE,TERBUTALINE,2.5 mg.,เม็ด,0.13,1.00,TABLETS,ก,790575,
TETANUS TOXOID,TETANUSTOXOID,0.5 ml.,DOSE.,17.45,22.00,INJECTIONS,ก,672997,
TETRACAINE HCl 0.5%,TETRACAINE,0.5 %,ขวด,74.90,90.00,SOLUTIONS,ก,763821,
THEOPHYLLINE-CR (Theodur),THEOPHYLLINE,200 mg.,แค็บซูล,2.30,4.00,CAPSULES,ก,457229,
THYROXINE,THYROXINE,100 mcg.,เม็ด,0.29,1.00,TABLETS,ก,689147,
TLD (ยาโครงการ),TENOFAVIR+LAMIVUDINE+DOLUTEGRAVIR,300+300+50 mg.,เม็ด,23.33,29.00,TABLETS,ก,,
TOLPERISONE (ยานอกบัญชีฯ),TOLPERISONE,50 mg.,เม็ด,1.81,3.00,TABLETS,,687862,
TRAMADOL,TRAMADOL,50 mg.,แค็บซูล,0.50,1.00,CAPSULES,ค,465431,C
TRAMADOL,TRAMADOL,50 mg./ml.,Amphule (1 ml.),7.00,9.00,INJECTIONS,ค,581003,
TRANEXAMIC ACID,TRANEXAMICACID,250 mg.,Amphule (5 ml.),18.00,23.00,INJECTIONS,ก,763383,
TRANEXAMIC ACID,TRANEXAMIC ACID,500 MG.,CAPSULE,2.50,4.00,CAPSULES,ค,851721,
TRIAMCINOLONE,TRIAMCINOLONE,10 mg./ml.,Vial,14.50,19.00,INJECTIONS,ค,664638,
TRIAMCINOLONE ORAL PASTE,TRIAMCINOLONE,1 g.,ซอง,2.98,4.00,EMULSIONS,ก,786371,
TRIFERDINE 150,IODINEFERROUSFOLIC,0.15+185+0.4 mg.,เม็ด,0.83,2.00,TABLETS,ก,737414,
UNISON ENEMA,SODIUMCHLORIDE,15 %,หลอด,21.40,27.00,SOLUTIONS,ก,761807,
UREA CREAM,UREA,10 %,หลอด,30.00,37.00,CREM,ก,652482,
UTROGESTAN,MICRONIZED PROGESTERONE,200 mg.,เม็ด,19.90,25.00,CAPSULES,ง,469333,
VASALINE OINTMENT(กล่องใหญ่),VASALINE,450 g.,กล่อง,80.25,98.00,ointment,ก,,
VASALINE OINTMENT(แบบแบ่ง),VASALINE,5 g.,ซอง (5 g.),2.50,3.00,ointment,ก,,
VIT B COMPLEX,VITAMINBCOMPLEX,. mg.,Amphule (1 ml.),1.70,3.00,INJECTIONS,ข,770163,
VIT B COMPLEX,VITAMINBCOMPLEX,. mg.,เม็ด,0.12,1.00,TABLETS,ก,769247,
VIT K (1มิลลิกรัม),VITAMINK,1 mg.,Amphule (1 ml.),10.48,14.00,INJECTIONS,ก,791258,
VITAMIN B1 INJECTION(Thiamine),THIAMINE HYDROCHLORIDE,100 mg.,Amphule (1 ml.),3.00,4.00,INJECTIONS,ก,580104,
VITAMIN B6,VITAMINB,50 mg.,เม็ด,0.18,1.00,TABLETS,ก,372467,
VITAMIN C,VITAMINC,100 mg.,เม็ด,0.16,1.00,TABLETS,ก,1009781,
VITAMIN K (10 มิลลิกรัม),VITAMINK,10 mg./ml.,Amphule (1 ml.),14.00,17.00,INJECTIONS,ก,769350,
WARFARIN SODIUM (สีชมพู),WARFARIN SODIUM,5 mg.,เม็ด,2.25,3.00,,ค,108354,
WARFARIN SODIUM (สีฟ้า),WARFARIN SODIUM,3 mg.,เม็ด,1.95,3.00,TABLETS,ค,108185,
WARFARIN SODIUM (สีส้ม),WARFARIN SODIUM,2 mg.,เม็ด,1.60,3.00,TABLETS,ค,108128,
WHITEFIELD OINTMENT,BENZOICACID+SALICYLICACID,.,หลอด (15 g.),5.00,7.00,OINTMENTS,ก,761853,
XYLOCAINE JELLY,LIDOCAINEHCL,2 %,ขวด,35.58,44.00,JELLY,ก,769473,
ZIDOVUDINE (AZT 100),ZIDOVUDINE,100 mg.,แค็บซูล,4.13,6.00,CAPSULES,ก,655285,
Zidovudine (AZT 100) (ยาโครงการ),ZIDOVUDINE,100 mg.,แค็บซูล,2.69,4.00,CAPSULES,ก,655285,
ZIDOVUDINE (AZT 300),ZIDOVUDINE,300 mg.,แค็บซูล,11.65,15.00,CAPSULES,ก,655263,
ZIDOVUDINE (AZT 300) (ยาโครงการ),ZIDOVUDINE,300 mg.,เม็ด,8.02,11.00,CAPSULES,ก,655263,
Zidovudine (AZT) (ยาโครงการ),ZIDOVUDINE,10 mg./ml.,ขวด,50.00,61.00,SYRUPS,ก,641690,
ZILARVIR (ยาโครงการ),ZIDOVUDINE+LAMIVUDINE,300+150 mg.,เม็ด,9.41,12.00,TABLETS,ก,662455,
กล้วยผง,กล้วยผง,20 ซอง/กล่อง,กล่อง,110.00,138.00,POWDERS,,9070144,
ขิงแคปซูล (Ginger),ZingiberOfficinate,500 mg.,แค็บซูล,1.00,2.00,CAPSULES,-,9093738,
ครีมไพล(PLAIVANA CREAM),น้ำมันไพล,14 %,หลอด (15 g.),25.00,31.00,,-,9095307,
เจลพริก(CAPSIKA GEL),CAPSAICIN,25 mg.,หลอด,25.00,31.00,GEL,-,9095266,
เจลว่านพระฉิม(WANN PRA CHIM),Dioscored bulbifera Linn.,20 %,หลอด,100.00,121.00,GEL,,9410536,
ชาชงสมุนไพรรางจืด ( 10 ซอง/ห่อ),รางจืด,2 g.,กล่อง,66.00,80.00,POWDERS,-,,
